op       frequency        %
mov      31864            16.3%
ldr      30468            15.6%
cmp      17969            9.2%
bl       16285            8.4%
add      14405            7.4%
str      10706            5.5%
b        7001             3.6%
beq      6953             3.6%
bne      6843             3.5%
sub      4261             2.2%
ldrb     3705             1.9%
bx       3495             1.8%
push     2516             1.3%
pop      2343             1.2%
movne    2066             1.1%
moveq    1821             0.9%
strb     1557             0.8%
tst      1405             0.7%
orr      1382             0.7%
sub.s    1311             0.7%
and      1274             0.7%
rsb      1245             0.6%
ldm      1199             0.6%
lsl      1090             0.6%
ldrne    1076             0.6%
ldreq    975              0.5%
mvn      967              0.5%
lsr      812              0.4%
bls      700              0.4%
ldrh     695              0.4%
cmn      670              0.3%
blne     647              0.3%
bhi      636              0.3%
blt      593              0.3%
streq    485              0.2%
stm      476              0.2%
ble      457              0.2%
bge      448              0.2%
addeq    446              0.2%
cmpne    414              0.2%
addne    413              0.2%
bic      408              0.2%
bgt      408              0.2%
strh     385              0.2%
strne    348              0.2%
blo      299              0.2%
movls    291              0.1%
bleq     278              0.1%
and.s    271              0.1%
movlo    270              0.1%
add.s    263              0.1%
mul      253              0.1%
eor      248              0.1%
svc      236              0.1%
adc      213              0.1%
asr      212              0.1%
movlt    208              0.1%
and.seq  180              0.1%
movhs    180              0.1%
movhi    179              0.1%
bhs      178              0.1%
orr.s    168              0.1%
andeq    166              0.1%
movgt    150              0.1%
strbne   149              0.1%
orreq    146              0.1%
movge    131              0.1%
mla      131              0.1%
movle    126              0.1%
orrne    126              0.1%
strbeq   117              0.1%
rsb.s    107              0.1%
bxne     106              0.1%
strlo    103              0.1%
mvneq    96               0.0%
ldrlt    90               0.0%
ldrls    86               0.0%
ldrbne   85               0.0%
addls    74               0.0%
ldrsb    74               0.0%
subeq    72               0.0%
ldrbeq   71               0.0%
sbc      71               0.0%
mvnne    67               0.0%
subne    65               0.0%
ldrhi    64               0.0%
ldrgt    63               0.0%
bllt     62               0.0%
rsbne    60               0.0%
biceq    58               0.0%
ldrsh    56               0.0%
ldrheq   55               0.0%
teq      54               0.0%
bxeq     54               0.0%
subhs    51               0.0%
blhs     49               0.0%
strgt    49               0.0%
andne    49               0.0%
strblo   47               0.0%
strhi    47               0.0%
ldrge    45               0.0%
bpl      41               0.0%
cmpeq    40               0.0%
addgt    39               0.0%
stmib    39               0.0%
subhi    38               0.0%
blgt     37               0.0%
strls    37               0.0%
bicne    36               0.0%
ldrblo   35               0.0%
umull    35               0.0%
strlt    33               0.0%
cmpls    31               0.0%
lsleq    31               0.0%
addge    31               0.0%
ldrle    30               0.0%
lsl.s    30               0.0%
ldmib    29               0.0%
lsr.s    29               0.0%
addhi    28               0.0%
lsrhs    28               0.0%
mvnlt    27               0.0%
addle    27               0.0%
bmi      26               0.0%
lslne    26               0.0%
strle    26               0.0%
rsbeq    24               0.0%
strheq   23               0.0%
addlt    23               0.0%
orrhs    23               0.0%
blhi     22               0.0%
ldrhne   22               0.0%
bic.s    21               0.0%
strge    21               0.0%
ldrsbeq  20               0.0%
blge     20               0.0%
addhs    20               0.0%
lsreq    19               0.0%
lsrne    19               0.0%
subls    19               0.0%
subgt    19               0.0%
asreq    18               0.0%
strbls   18               0.0%
teqne    18               0.0%
rsblt    17               0.0%
rrx      16               0.0%
ldrhs    16               0.0%
ldmda    16               0.0%
ldmdb    15               0.0%
addlo    15               0.0%
eoreq    15               0.0%
andls    14               0.0%
rsc      14               0.0%
bxls     14               0.0%
orrgt    13               0.0%
addmi    13               0.0%
strbhi   13               0.0%
lsllo    13               0.0%
subge    12               0.0%
mul.seq  12               0.0%
strhne   11               0.0%
bxhi     11               0.0%
muleq    10               0.0%
orrls    10               0.0%
andhi    10               0.0%
eorne    10               0.0%
mvnhi    10               0.0%
orrle    10               0.0%
mvn.sne  10               0.0%
mvn.s    10               0.0%
adc.s    10               0.0%
strbgt   9                0.0%
stmdb    9                0.0%
asr.s    9                0.0%
suble    9                0.0%
mvnmi    9                0.0%
blle     9                0.0%
orrge    9                0.0%
rsbge    9                0.0%
